population,relationship_tested,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
Cauc,full_siblings,expanded_20,0.876281818181818,0.876281818181818,0.876281818181818,0.876281818181818,220000
Cauc,full_siblings,identifiler_15,0.893513636363636,0.893513636363636,0.893513636363636,0.893513636363636,220000
Cauc,full_siblings,supplementary,0.84565,0.84565,0.84565,0.84565,220000
Cauc,half_siblings,autosomal_29,0.867886363636364,0.867886363636364,0.867886363636364,0.867886363636364,220000
Cauc,half_siblings,core_13,0.813786363636364,0.813786363636364,0.813786363636364,0.813786363636364,220000
Cauc,half_siblings,expanded_20,0.866581818181818,0.866581818181818,0.866581818181818,0.866581818181818,220000
Cauc,half_siblings,identifiler_15,0.837490909090909,0.837490909090909,0.837490909090909,0.837490909090909,220000
Cauc,half_siblings,supplementary,0.872245454545455,0.872245454545455,0.872245454545455,0.872245454545455,220000
Cauc,parent_child,autosomal_29,0.828963636363636,0.828963636363636,0.828963636363636,0.828963636363636,220000
Cauc,parent_child,core_13,0.937522727272727,0.937522727272727,0.937522727272727,0.937522727272727,220000
Cauc,parent_child,expanded_20,0.908290909090909,0.908290909090909,0.908290909090909,0.908290909090909,220000
Cauc,parent_child,identifiler_15,0.934968181818182,0.934968181818182,0.934968181818182,0.934968181818182,220000
Cauc,parent_child,supplementary,0.874409090909091,0.874409090909091,0.874409090909091,0.874409090909091,220000
Cauc,second_cousins,autosomal_29,0.617409090909091,0.617409090909091,0.617409090909091,0.617409090909091,220000
Cauc,second_cousins,core_13,0.523618181818182,0.523618181818182,0.523618181818182,0.523618181818182,220000
Cauc,second_cousins,expanded_20,0.571136363636364,0.571136363636364,0.571136363636364,0.571136363636364,220000
Cauc,second_cousins,identifiler_15,0.536277272727273,0.536277272727273,0.536277272727273,0.536277272727273,220000
Cauc,second_cousins,supplementary,0.580913636363636,0.580913636363636,0.580913636363636,0.580913636363636,220000
Hispanic,cousins,autosomal_29,0.674795454545455,0.674795454545455,0.674795454545455,0.674795454545455,220000
Hispanic,cousins,core_13,0.587972727272727,0.587972727272727,0.587972727272727,0.587972727272727,220000
Hispanic,cousins,expanded_20,0.636236363636364,0.636236363636364,0.636236363636364,0.636236363636364,220000
Hispanic,cousins,identifiler_15,0.599240909090909,0.599240909090909,0.599240909090909,0.599240909090909,220000
Hispanic,cousins,supplementary,0.651622727272727,0.651622727272727,0.651622727272727,0.651622727272727,220000
Hispanic,full_siblings,autosomal_29,0.878895454545455,0.878895454545455,0.878895454545455,0.878895454545455,220000
Hispanic,full_siblings,core_13,0.915104545454545,0.915104545454545,0.915104545454545,0.915104545454545,220000
Hispanic,full_siblings,expanded_20,0.915722727272727,0.915722727272727,0.915722727272727,0.915722727272727,220000
Hispanic,full_siblings,identifiler_15,0.918904545454545,0.918904545454545,0.918904545454545,0.918904545454545,220000
Hispanic,full_siblings,supplementary,0.900845454545454,0.900845454545454,0.900845454545454,0.900845454545454,220000
Hispanic,half_siblings,autosomal_29,0.903331818181818,0.903331818181818,0.903331818181818,0.903331818181818,220000
Hispanic,half_siblings,core_13,0.830813636363636,0.830813636363636,0.830813636363636,0.830813636363636,220000
Hispanic,half_siblings,expanded_20,0.881595454545455,0.881595454545455,0.881595454545455,0.881595454545455,220000
Hispanic,half_siblings,identifiler_15,0.848668181818182,0.848668181818182,0.848668181818182,0.848668181818182,220000
Hispanic,half_siblings,supplementary,0.895145454545455,0.895145454545455,0.895145454545455,0.895145454545455,220000
Hispanic,parent_child,autosomal_29,0.898740909090909,0.898740909090909,0.898740909090909,0.898740909090909,220000
Hispanic,parent_child,core_13,0.962622727272727,0.962622727272727,0.962622727272727,0.962622727272727,220000
Hispanic,parent_child,expanded_20,0.939459090909091,0.939459090909091,0.939459090909091,0.939459090909091,220000
Hispanic,parent_child,identifiler_15,0.954322727272727,0.954322727272727,0.954322727272727,0.954322727272727,220000
Hispanic,parent_child,supplementary,0.919922727272727,0.919922727272727,0.919922727272727,0.919922727272727,220000
Hispanic,second_cousins,autosomal_29,0.597268181818182,0.597268181818182,0.597268181818182,0.597268181818182,220000
Hispanic,second_cousins,core_13,0.532413636363636,0.532413636363636,0.532413636363636,0.532413636363636,220000
Hispanic,second_cousins,expanded_20,0.5722,0.5722,0.5722,0.5722,220000
Hispanic,second_cousins,identifiler_15,0.537781818181818,0.537781818181818,0.537781818181818,0.537781818181818,220000
Hispanic,second_cousins,supplementary,0.580413636363636,0.580413636363636,0.580413636363636,0.580413636363636,220000
