population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
Asian,parent_child,supplementary,1,1,1,1,50
Asian,parent_child,autosomal_29,1,1,1,1,50
Asian,second_cousins,core_13,0.58,0.58,0.58,0.58,50
Asian,second_cousins,identifiler_15,0.62,0.62,0.62,0.62,50
Asian,second_cousins,expanded_20,0.6,0.6,0.6,0.6,50
Asian,second_cousins,supplementary,0.58,0.58,0.58,0.58,50
Asian,second_cousins,autosomal_29,0.64,0.64,0.64,0.64,50
Cauc,cousins,core_13,0.56,0.56,0.56,0.56,50
Cauc,cousins,identifiler_15,0.58,0.58,0.58,0.58,50
Cauc,cousins,expanded_20,0.64,0.64,0.64,0.64,50
Cauc,cousins,supplementary,0.68,0.68,0.68,0.68,50
Cauc,cousins,autosomal_29,0.74,0.74,0.74,0.74,50
Cauc,full_siblings,core_13,0.92,0.92,0.92,0.92,50
Cauc,full_siblings,identifiler_15,1,1,1,1,50
Cauc,full_siblings,expanded_20,1,1,1,1,50
Cauc,full_siblings,supplementary,1,1,1,1,50
Cauc,full_siblings,autosomal_29,1,1,1,1,50
Cauc,half_siblings,core_13,0.74,0.74,0.74,0.74,50
Cauc,half_siblings,identifiler_15,0.8,0.8,0.8,0.8,50
Cauc,half_siblings,expanded_20,0.92,0.92,0.92,0.92,50
Cauc,half_siblings,supplementary,0.96,0.96,0.96,0.96,50
Cauc,half_siblings,autosomal_29,0.98,0.98,0.98,0.98,50
Cauc,parent_child,core_13,1,1,1,1,50
Cauc,parent_child,identifiler_15,1,1,1,1,50
Cauc,parent_child,expanded_20,1,1,1,1,50
Cauc,parent_child,supplementary,1,1,1,1,50
Cauc,parent_child,autosomal_29,1,1,1,1,50
Cauc,second_cousins,core_13,0.38,0.38,0.38,0.38,50
Cauc,second_cousins,identifiler_15,0.4,0.4,0.4,0.4,50
Cauc,second_cousins,expanded_20,0.38,0.38,0.38,0.38,50
Cauc,second_cousins,supplementary,0.46,0.46,0.46,0.46,50
Cauc,second_cousins,autosomal_29,0.4,0.4,0.4,0.4,50
Hispanic,cousins,core_13,0.44,0.44,0.44,0.44,50
Hispanic,cousins,identifiler_15,0.42,0.42,0.42,0.42,50
Hispanic,cousins,expanded_20,0.48,0.48,0.48,0.48,50
Hispanic,cousins,supplementary,0.54,0.54,0.54,0.54,50
Hispanic,cousins,autosomal_29,0.52,0.52,0.52,0.52,50
Hispanic,full_siblings,core_13,0.92,0.92,0.92,0.92,50
Hispanic,full_siblings,identifiler_15,0.98,0.98,0.98,0.98,50
Hispanic,full_siblings,expanded_20,0.98,0.98,0.98,0.98,50
Hispanic,full_siblings,supplementary,1,1,1,1,50
Hispanic,full_siblings,autosomal_29,1,1,1,1,50
Hispanic,half_siblings,core_13,0.94,0.94,0.94,0.94,50
Hispanic,half_siblings,identifiler_15,0.9,0.9,0.9,0.9,50
Hispanic,half_siblings,expanded_20,0.96,0.96,0.96,0.96,50
Hispanic,half_siblings,supplementary,0.96,0.96,0.96,0.96,50
Hispanic,half_siblings,autosomal_29,1,1,1,1,50
Hispanic,parent_child,core_13,1,1,1,1,50
Hispanic,parent_child,identifiler_15,1,1,1,1,50
Hispanic,parent_child,expanded_20,1,1,1,1,50
Hispanic,parent_child,supplementary,1,1,1,1,50
Hispanic,parent_child,autosomal_29,1,1,1,1,50
Hispanic,second_cousins,core_13,0.62,0.62,0.62,0.62,50
Hispanic,second_cousins,identifiler_15,0.66,0.66,0.66,0.66,50
Hispanic,second_cousins,expanded_20,0.56,0.56,0.56,0.56,50
Hispanic,second_cousins,supplementary,0.62,0.62,0.62,0.62,50
Hispanic,second_cousins,autosomal_29,0.62,0.62,0.62,0.62,50
