"RACE","Cousins","n","p"
"Black/African American",166,1,2.5e-05
"White",0,161,0.004025
"White",1,109,0.002725
"White",2,204,0.0051
"White",3,268,0.0067
"White",4,342,0.00855
"White",5,429,0.010725
"White",6,510,0.01275
"White",7,606,0.01515
"White",8,715,0.017875
"White",9,828,0.0207
"White",10,872,0.0218
"White",11,1025,0.025625
"White",12,1114,0.02785
"White",13,1170,0.02925
"White",14,1196,0.0299
"White",15,1284,0.0321
"White",16,1371,0.034275
"White",17,1397,0.034925
"White",18,1416,0.0354
"White",19,1433,0.035825
"White",20,1499,0.037475
"White",21,1460,0.0365
"White",22,1481,0.037025
"White",23,1381,0.034525
"White",24,1454,0.03635
"White",25,1231,0.030775
"White",26,1230,0.03075
"White",27,1220,0.0305
"White",28,1145,0.028625
"White",29,1133,0.028325
"White",30,1029,0.025725
"White",31,950,0.02375
"White",32,869,0.021725
"White",33,815,0.020375
"White",34,766,0.01915
"White",35,657,0.016425
"White",36,595,0.014875
"White",37,540,0.0135
"White",38,518,0.01295
"White",39,449,0.011225
"White",40,388,0.0097
"White",41,390,0.00975
"White",42,321,0.008025
"White",43,269,0.006725
"White",44,263,0.006575
"White",45,204,0.0051
"White",46,186,0.00465
"White",47,164,0.0041
"White",48,139,0.003475
"White",49,117,0.002925
"White",50,104,0.0026
"White",51,97,0.002425
"White",52,69,0.001725
"White",53,58,0.00145
"White",54,71,0.001775
"White",55,50,0.00125
"White",56,36,9e-04
"White",57,35,0.000875
"White",58,30,0.00075
"White",59,23,0.000575
"White",60,21,0.000525
"White",61,21,0.000525
"White",62,13,0.000325
"White",63,9,0.000225
"White",64,7,0.000175
"White",65,9,0.000225
"White",66,9,0.000225
"White",67,2,5e-05
"White",68,6,0.00015
"White",69,1,2.5e-05
"White",70,3,7.5e-05
"White",71,1,2.5e-05
"White",72,3,7.5e-05
"White",74,2,5e-05
"White",75,4,1e-04
"White",77,1,2.5e-05
"White",79,1,2.5e-05
"White",81,1,2.5e-05
