population,relationship_type,loci_set,proportion_exceeding_fixed,proportion_exceeding_1,proportion_exceeding_0_1,proportion_exceeding_0_01,n_related
Cauc,half_siblings,supplementary,0.93,0.93,0.93,0.93,100
Cauc,half_siblings,autosomal_29,0.96,0.96,0.96,0.96,100
Cauc,parent_child,core_13,1,1,1,1,100
Cauc,parent_child,identifiler_15,1,1,1,1,100
Cauc,parent_child,expanded_20,1,1,1,1,100
Cauc,parent_child,supplementary,1,1,1,1,100
Cauc,parent_child,autosomal_29,1,1,1,1,100
Cauc,second_cousins,core_13,0.55,0.55,0.55,0.55,100
Cauc,second_cousins,identifiler_15,0.53,0.53,0.53,0.53,100
Cauc,second_cousins,expanded_20,0.58,0.58,0.58,0.58,100
Cauc,second_cousins,supplementary,0.65,0.65,0.65,0.65,100
Cauc,second_cousins,autosomal_29,0.6,0.6,0.6,0.6,100
Hispanic,cousins,core_13,0.58,0.58,0.58,0.58,100
Hispanic,cousins,identifiler_15,0.55,0.55,0.55,0.55,100
Hispanic,cousins,expanded_20,0.56,0.56,0.56,0.56,100
Hispanic,cousins,supplementary,0.62,0.62,0.62,0.62,100
Hispanic,cousins,autosomal_29,0.67,0.67,0.67,0.67,100
Hispanic,full_siblings,core_13,0.94,0.94,0.94,0.94,100
Hispanic,full_siblings,identifiler_15,0.96,0.96,0.96,0.96,100
Hispanic,full_siblings,expanded_20,0.98,0.98,0.98,0.98,100
Hispanic,full_siblings,supplementary,0.99,0.99,0.99,0.99,100
Hispanic,full_siblings,autosomal_29,0.98,0.98,0.98,0.98,100
Hispanic,half_siblings,core_13,0.86,0.86,0.86,0.86,100
Hispanic,half_siblings,identifiler_15,0.88,0.88,0.88,0.88,100
Hispanic,half_siblings,expanded_20,0.9,0.9,0.9,0.9,100
Hispanic,half_siblings,supplementary,0.96,0.96,0.96,0.96,100
Hispanic,half_siblings,autosomal_29,0.98,0.98,0.98,0.98,100
Hispanic,parent_child,core_13,1,1,1,1,100
Hispanic,parent_child,identifiler_15,1,1,1,1,100
Hispanic,parent_child,expanded_20,1,1,1,1,100
Hispanic,parent_child,supplementary,1,1,1,1,100
Hispanic,parent_child,autosomal_29,1,1,1,1,100
Hispanic,second_cousins,core_13,0.46,0.46,0.46,0.46,100
Hispanic,second_cousins,identifiler_15,0.44,0.44,0.44,0.44,100
Hispanic,second_cousins,expanded_20,0.42,0.42,0.42,0.42,100
Hispanic,second_cousins,supplementary,0.49,0.49,0.49,0.49,100
Hispanic,second_cousins,autosomal_29,0.48,0.48,0.48,0.48,100
